"bcr_patient_barcode","DNAH12_exp","DNAH10_exp","BUB1_exp","C10orf32_exp","SLC12A8_exp","EFNB3_exp","DUOXA1_exp","DUOX1_exp","HDAC1_exp","HRCT1_exp","TNC_exp","AADAC_exp","AAMP_exp","A1CF_exp","PTEN_exp","DTL_exp","BRAF_exp"
"TCGA-A3-3343",1.442,16.5826,37.1305,689.978,8.2913,17.664,0.721,17.664,1919.61,194.665,331.651,0.3605,2170.87,244.052,2415.65,55.155,197.909
"TCGA-A3-3346",1.7609,23.7718,445.941,443.3,282.62,1.3207,0.8804,7.4837,2786.58,73.0762,2013.56,0.8804,2956.51,76.1578,671.333,302.43,90.2448
"TCGA-A3-3347",0.4331,34.2139,349.069,526.202,180.598,69.2941,3.0316,18.6228,1597.23,33.3478,3899.96,0,1745.34,97.0117,2452.14,232.568,196.189
"TCGA-A3-3349",2.8317,18.6084,50.5663,673.544,166.667,334.142,0.4045,16.5858,2354.37,105.178,5430.83,0,1910.6,127.023,1891.18,85.7605,123.786
"TCGA-A3-3351",1.2804,19.6329,87.0679,629.962,156.637,18.7793,0.8536,147.674,1985.06,68.7153,1938.54,0,2097.74,255.655,2280.84,87.0679,270.166
"TCGA-A3-3352",1.5331,13.542,60.5557,879.974,9.9649,26.3175,1.2775,111.147,2096.45,71.0316,331.14,38.3264,2684.38,335.995,1797,99.6487,177.323
"TCGA-A3-3357",0.6673,23.6904,118.118,717.384,88.0881,4.6713,0,22.3557,1565.57,19.3527,504.838,1.6683,1842.18,552.219,2143.14,171.505,226.226
"TCGA-A3-3358",1.9084,18.4478,96.6921,819.975,100.827,21.3104,1.2723,16.5394,1676.53,91.9211,608.779,0.9542,2208.02,465.967,2006.68,162.85,228.053
"TCGA-A3-3359",1.8124,36.2483,71.5904,932.487,16.7648,75.6683,0,16.3117,2170.37,108.292,778.885,0,1994.11,341.64,2234.71,75.2152,201.178
"TCGA-A3-3362",1.3661,23.6794,53.7341,961.749,20.9882,89.2532,1.8215,21.8579,1841.07,57.8324,1830.15,0.4554,2033.7,352.004,2957.65,84.6995,167.122
"TCGA-A3-3363",1.6846,3.7062,51.2129,948.45,369.609,75.4717,0,11.4555,2196.77,81.1995,2926.89,0,1600.07,12.1294,1755.73,57.6146,178.908
